gene,isoform,logFC,tpm_mean,pvalues,fdr
AT1G50110,AT1G50110_P2,,-inf,0.0,0.0
AT1G50120,AT1G50120_ID45,,3.344877947737178,0.0,0.0
AT1G50120,AT1G50120_P1,-0.2996491108611492,3.344877947737178,1.0,1.0
AT1G50120,AT1G50120_P2,0.5109764348207415,3.344877947737178,0.23676323676323677,0.30722030494152636
AT1G50120,AT1G50120_c1,,3.344877947737178,0.0,0.0
AT1G50120,AT1G50120_c2,,3.344877947737178,0.0,0.0
AT1G50140,AT1G50140.1,,4.433181468289814,0.0,0.0
AT1G50140,AT1G50140_JS4,,4.433181468289814,0.0,0.0
AT1G50140,AT1G50140_JS5,,4.433181468289814,0.0,0.0
AT1G50140,AT1G50140_c1,,4.433181468289814,0.0,0.0
AT1G50140,AT1G50140_c2,,4.433181468289814,0.0,0.0
AT1G50140,AT1G50140_c3,,4.433181468289814,0.0,0.0
AT1G50140,AT1G50140_c5,,4.433181468289814,0.0,0.0
AT1G50140,AT1G50140_s2,,4.433181468289814,0.0,0.0
AT1G50140,AT1G50140_s3,,4.433181468289814,0.0,0.0
AT1G50140,AT1G50140_s4,,4.433181468289814,0.0,0.0
AT1G50140,AT1G50140_s5,-0.5097717892394886,4.433181468289814,0.25124875124875123,0.32278008879286574
AT1G50140,AT1G50140_s6,-0.511638184312448,4.433181468289814,0.25074925074925075,0.322214901757387
AT1G50170,AT1G50170_P1,-1.3229272147948898,4.225136272626277,0.04295704295704296,0.06675173040219577
AT1G50170,AT1G50170_P2,,4.225136272626277,0.0,0.0
AT1G50170,AT1G50170_P3,0.3635828150428351,4.225136272626277,1.0,1.0
AT1G50180,AT1G50180_P1,,-inf,0.0,0.0
AT1G50200,AT1G50200.2,,7.548454931646748,0.0,0.0
AT1G50200,AT1G50200_ID2,1.3178190922280137,7.548454931646748,0.0034965034965034965,0.006585542169261399
AT1G50200,AT1G50200_JS2,,7.548454931646748,0.0,0.0
AT1G50200,AT1G50200_JS3,,7.548454931646748,0.0,0.0
AT1G50200,AT1G50200_JS4,,7.548454931646748,0.0,0.0
AT1G50200,AT1G50200_P1,-2.160232004270779,7.548454931646748,0.0004995004995004995,0.0009878794793974671
AT1G50240,AT1G50240_JC3,0.4795335985634991,-inf,1.0,1.0
AT1G50250,AT1G50250_P1,-1.292400022215681,3.8838593148552882,0.05844155844155844,0.08883070903639056
AT1G50250,AT1G50250_c1,,3.8838593148552882,0.0,0.0
AT1G50260,AT1G50260_JC1,-0.822800073693776,3.2851356653224393,0.22627372627372627,0.2970724758580012
AT1G50260,AT1G50260_P1,,3.2851356653224393,0.0,0.0
AT1G50260,AT1G50260_c3,,3.2851356653224393,0.0,0.0
AT1G50260,AT1G50260_s2,1.4236884653441133,3.2851356653224393,0.08441558441558442,0.12453531796010252
AT1G50270,AT1G50270_P1,,-inf,0.0,0.0
AT1G50280,AT1G50280_P1,-0.3952993998818879,-inf,1.0,1.0
AT1G50280,AT1G50280_P2,-0.7464609435823495,-inf,0.2242757242757243,0.29530938112346483
AT1G50290,AT1G50290_P1,3.009474845009659,5.024880984293187,0.0,0.0
AT1G50300,AT1G50300_ID12,,5.444606135911879,0.0,0.0
AT1G50300,AT1G50300_ID7,1.2073167080513474,5.444606135911879,0.013986013986013986,0.023282047838916377
AT1G50300,AT1G50300_P1,0.13406935002716303,5.444606135911879,1.0,1.0
AT1G50300,AT1G50300_P2,-1.3714972137688162,5.444606135911879,0.008991008991008992,0.015417759188760267
AT1G50320,AT1G50320.1,-0.5951306016908404,5.530188972834523,0.1048951048951049,0.15180450786004707
AT1G50360,AT1G50360_JS4,-1.0774517714841902,3.096447884752483,0.14085914085914086,0.19753655894579833
AT1G50360,AT1G50360_P1,0.7417916039481383,3.096447884752483,0.2712287712287712,0.34556786423336894
AT1G50370,AT1G50370_P1,0.32042496665783915,6.07317319181707,1.0,1.0
AT1G50370,AT1G50370_s1,,6.07317319181707,0.0,0.0
AT1G50380,AT1G50380_JC6,,4.1608223349870235,0.0,0.0
AT1G50380,AT1G50380_P2,0.23739762998496827,4.1608223349870235,1.0,1.0
AT1G50390,AT1G50390_ID1,-0.7896927180757525,-inf,0.21978021978021978,0.29143304299573447
AT1G50400,AT1G50400_P1,,-inf,0.0,0.0
AT1G50410,AT1G50410_ID2,0.3047561316216094,3.8979307687953533,1.0,1.0
AT1G50410,AT1G50410_JS1,,3.8979307687953533,0.0,0.0
AT1G50410,AT1G50410_JS4,,3.8979307687953533,0.0,0.0
AT1G50410,AT1G50410_P1,,3.8979307687953533,0.0,0.0
AT1G50410,AT1G50410_P4,,3.8979307687953533,0.0,0.0
AT1G50410,AT1G50410_c1,,3.8979307687953533,0.0,0.0
AT1G50420,AT1G50420_P1,1.7828225102968474,4.810353859281604,0.006993006993006993,0.012267299454769053
AT1G50430,AT1G50430.1,1.5375139533370206,5.649890946331072,0.004995004995004995,0.009056941583589032
AT1G50430,AT1G50430.2,,5.649890946331072,0.0,0.0
AT1G50430,AT1G50430_ID1,,5.649890946331072,0.0,0.0
AT1G50440,AT1G50440_ID10,,4.875649675474835,0.0,0.0
AT1G50440,AT1G50440_ID12,,4.875649675474835,0.0,0.0
AT1G50440,AT1G50440_ID14,2.7953965453209784,4.875649675474835,0.0004995004995004995,0.0009878794793974671
AT1G50440,AT1G50440_ID8,,4.875649675474835,0.0,0.0
AT1G50440,AT1G50440_P1,-1.2862422175578836,4.875649675474835,0.025474525474525476,0.04092188435172845
AT1G50440,AT1G50440_P4,,4.875649675474835,0.0,0.0
AT1G50440,AT1G50440_P5,,4.875649675474835,0.0,0.0
AT1G50450,AT1G50450_P1,0.4066634974337471,4.915025430651696,1.0,1.0
AT1G50450,AT1G50450_c1,,4.915025430651696,0.0,0.0
AT1G50450,AT1G50450_s1,0.5586161251898729,4.915025430651696,0.18681318681318682,0.2543391976608698
AT1G50460,AT1G50460_JC3,0.22502574479227944,5.319309194521804,1.0,1.0
AT1G50460,AT1G50460_JC7,,5.319309194521804,0.0,0.0
AT1G50460,AT1G50460_JS1,,5.319309194521804,0.0,0.0
AT1G50460,AT1G50460_P1,-0.7891531016060789,5.319309194521804,0.07192807192807193,0.10756500845793965
AT1G50460,AT1G50460_P2,,5.319309194521804,0.0,0.0
AT1G50460,AT1G50460_c1,,5.319309194521804,0.0,0.0
AT1G50460,AT1G50460_c2,-1.1543302537222533,5.319309194521804,0.025474525474525476,0.04092188435172845
AT1G50460,AT1G50460_s1,,5.319309194521804,0.0,0.0
AT1G50460,AT1G50460_s2,,5.319309194521804,0.0,0.0
AT1G50480,AT1G50480_ID2,0.9975050333886192,8.012958983555881,0.002997002997002997,0.005682938766225362
AT1G50480,AT1G50480_ID4,-1.1978076211987645,8.012958983555881,0.0014985014985014985,0.0029060528630328584
AT1G50480,AT1G50480_P1,0.5000602649714834,8.012958983555881,0.022477522477522476,0.036383051418958055
AT1G50490,AT1G50490_P1,-0.14248027470438895,3.560341597591126,1.0,1.0
AT1G50490,AT1G50490_s1,1.597977452592013,3.560341597591126,0.05344655344655345,0.08183852209837265
AT1G50500,AT1G50500.1,-1.7736356093329966,4.402780198934056,0.015484515484515484,0.025625932790860742
AT1G50500,AT1G50500.2,,4.402780198934056,0.0,0.0
AT1G50500,AT1G50500_ID4,,4.402780198934056,0.0,0.0
AT1G50500,AT1G50500_P5,,4.402780198934056,0.0,0.0
AT1G50500,AT1G50500_s1,-0.8307492453952565,4.402780198934056,0.13436563436563437,0.1893925944814475
AT1G50500,AT1G50500_s2,-0.9389097681574468,4.402780198934056,0.09540459540459541,0.13930337908690318
AT1G50510,AT1G50510_ID4,,4.29434936825678,0.0,0.0
AT1G50510,AT1G50510_ID6,,4.29434936825678,0.0,0.0
AT1G50510,AT1G50510_P1,0.38298606344953834,4.29434936825678,1.0,1.0
AT1G50520,AT1G50520.1,0.7874296676507886,-inf,0.21978021978021978,0.29143304299573447
AT1G50550,AT1G50550.1,,-inf,0.0,0.0
AT1G50560,AT1G50560_P1,1.1641323071254666,2.183914002029003,0.17282717282717283,0.23722623481567912
AT1G50570,AT1G50570_P1,-0.7109649803109876,5.671753464163042,0.06943056943056942,0.10417570391775033
