gene,isoform,logFC,tpm_mean,pvalues
AT3G46020,AT3G46020_P1,-0.015734557234776236,3.53450847439262,1.0
AT3G46030,AT3G46030_P1,-0.5023378173409387,7.107216002147312,0.2707292707292707
AT3G46040,AT3G46040_P1,-0.5990495026973486,7.029115506330583,0.2337662337662338
AT3G46040,AT3G46040_c1,0.319192408625082,7.029115506330583,1.0
AT3G46040,AT3G46040_c2,,7.029115506330583,0.0
AT3G46040,AT3G46040_s1,0.32452553916778026,7.029115506330583,1.0
AT3G46060,AT3G46060.2,0.05241422015699754,6.815608592658574,1.0
AT3G46060,AT3G46060_P1,0.16206109099412114,6.815608592658574,1.0
AT3G46060,AT3G46060_c1,,6.815608592658574,0.0
AT3G46070,AT3G46070.1,,-inf,0.0
AT3G46080,AT3G46080_P1,4.062297383826756,4.175810616885977,0.009490509490509502
AT3G46090,AT3G46090_P1,3.152755632287788,3.0051991001038543,0.018481518481518522
AT3G46100,AT3G46100_ID26,1.1861743430248164,4.6478959812202465,0.0969030969030969
AT3G46100,AT3G46100_ID34,,4.6478959812202465,0.0
AT3G46100,AT3G46100_ID44,,4.6478959812202465,0.0
AT3G46100,AT3G46100_ID46,,4.6478959812202465,0.0
AT3G46100,AT3G46100_P1,-2.174537086827774,4.6478959812202465,0.038961038961038974
AT3G46100,AT3G46100_s1,1.8950632925026623,4.6478959812202465,0.048451548451548476
AT3G46100,AT3G46100_s2,2.55538189494051,4.6478959812202465,0.030469530469530492
AT3G46110,AT3G46110_P1,0.8069228002934563,2.1980617035817986,0.14035964035964038
AT3G46110,AT3G46110_P2,,2.1980617035817986,0.0
AT3G46130,AT3G46130_ID1,,3.3460830630660467,0.0
AT3G46130,AT3G46130_ID5,,3.3460830630660467,0.0
AT3G46130,AT3G46130_P1,,3.3460830630660467,0.0
AT3G46130,AT3G46130_P2,-0.251324904879056,3.3460830630660467,1.0
AT3G46150,AT3G46150_ID1,2.7669511117925523,1.4261488354542662,0.011488511488511488
AT3G46170,AT3G46170_P1,,-2.152361362561998,0.0
AT3G46180,AT3G46180_ID2,,3.1403038238377667,0.0
AT3G46180,AT3G46180_P1,0.6220298623533376,3.1403038238377667,0.2257742257742258
AT3G46180,AT3G46180_P2,,3.1403038238377667,0.0
AT3G46180,AT3G46180_s1,,3.1403038238377667,0.0
AT3G46180,AT3G46180_s3,,3.1403038238377667,0.0
AT3G46186,AT3G46186.1,,-inf,0.0
AT3G46190,AT3G46190_P2,,-inf,0.0
AT3G46200,AT3G46200_P1,0.9365712185313364,2.894929589468892,0.13586413586413587
AT3G46200,AT3G46200_P2,0.8091580481344226,2.894929589468892,0.16833166833166835
AT3G46200,AT3G46200_P3,,2.894929589468892,0.0
AT3G46200,AT3G46200_P4,0.7008899759490407,2.894929589468892,0.20079920079920083
AT3G46210,AT3G46210.3,,4.109473983942884,0.0
AT3G46210,AT3G46210.6,-0.47920077693903385,4.109473983942884,1.0
AT3G46210,AT3G46210_ID2,-0.42332192058629037,4.109473983942884,1.0
AT3G46210,AT3G46210_ID3,,4.109473983942884,0.0
AT3G46210,AT3G46210_ID4,,4.109473983942884,0.0
AT3G46210,AT3G46210_JC2,-0.5163578834836632,4.109473983942884,0.26573426573426573
AT3G46210,AT3G46210_JC4,,4.109473983942884,0.0
AT3G46210,AT3G46210_JS2,,4.109473983942884,0.0
